Part Guid	Part Name	Assembly	Full Assembly Name	Drawing	Drawing Path	Stock Name	Material	Manufacturer	Finishes	Insulations	TCG	LCG	VCG	Length	Length with Green	Nest	Nest Drawing	Nominal Size	Weight	Article Number	Spool Name	Description	Area	Branch	Stock Type	System	SpoolGUID	PRIMARY AssemblyGUID
000527d4-32b9-4001-a074-9b63a6834198	SSI-0101-P18-P02	P18	PROJECT/U01/0101/0101-ES15/0101-ES14/0101-ES11/0101-ES09/0101-ES08/0101-ES06/0101-ES03/0101-ES02/P18	U01_FR70	Units\\U01\\Structure\\Frame\\U01_FR70.dwg	PL10	Steel Gr. A	ACME		N/A	-922	42034	455	N/A	N/A	U01_PL10-NT001	U01_PL10	N/A	1.927	N/A	N/A	Floor Fr.70 (S)	24543	N/A	N/A	N/A	NULL	ec5ef9b7-d428-4038-b20d-c30f39bafc46
000854c8-2535-494a-9f66-e8ad9ffb087e	TRANS 310x180-400x155-004	Unspooled HVAC	PROJECT/U02/Unspooled HVAC	610_U02_Air condition and ventilation_TD	Units\\U02\\HVAC\\610_U02_Air condition and ventilation_TD.dwg	TRANS 310x180-400x155	Steel galv	MISC			2322	36900	6486	204	204	N/A	N/A	N/A	2.162	N/A	N/A	N/A	N/A	S5.1	N/A	612	NULL	b2e8329a-f427-4a7c-9005-b5204b958710
0009af34-4ccb-4db6-ba5a-b2f4eba6eca9	COUPLING-MISC-D57-018	Unassigned Equipment	PROJECT/U02/Unassigned Equipment	672_U02_Black and grey water TTD	Units\\U02\\Piping\\672_U02_Black and grey water TTD.dwg	COUPLING-MISC-D57	N/A	MISC			-323	35505	4293	N/A	N/A	N/A	N/A	N/A	0.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	NULL	7750d9dd-79a0-4346-9a01-e543081373d8
000d048d-555f-4945-8bb8-8ae067aae6e9	TRAY-C-U02-0211	Unassigned Cable Supports	PROJECT/U02/Unassigned Cable Supports	U02_Wireway_2540-4100	Units\\U02\\Electrical\\Wireway\\U02_Wireway_2540-4100.dwg	7P-24-30VI12	N/A	N/A	N/A	N/A	4000	30254	3664	N/A	N/A	N/A	N/A	N/A	0	N/A	N/A	N/A	N/A	N/A	Tray	N/A	NULL	5be1cd84-029b-4dee-b22f-eefed6b56ea4
001a4d78-29e0-408e-af69-0f2319b37d00	P-11604	Unspooled Pipe	PROJECT/U01/Unspooled Pipe	672_U01_Black and grey water TD	Units\\U01\\Piping\\672_U01_Black and grey water TD.dwg	ELBOW-90-88,9x2,0-1.4571	Stainless Steel 1.4571	MISC			-3298	40419	6544	179	N/A	N/A	N/A	80 mm	0.783	N/A	N/A	N/A	N/A	672-GW11	N/A	672	NULL	dac3d286-ab37-4023-9a85-5cb778534578
001cae04-5aa5-448b-870d-1843240ae04f	P-12805	Unspooled Pipe	PROJECT/U02/Unspooled Pipe	623_U02_Heating water	Units\\U02\\Piping\\623_U02_Heating water.dwg	PIPE-28,0x1,5-WICU	Copper Cu	MISC			-1640	29293	6550	1456	1456	N/A	N/A	25 mm	1.616	N/A	N/A	N/A	N/A	623-HS01	N/A	623	NULL	b98c9a71-f7fa-47ae-b9a7-92a591f7a579
0021153b-eee8-4e71-a67a-6ff44dc028b4	P-380	Unassigned Pipe	PROJECT/U02/Unassigned Pipe	641_U02_Bilge and ballast	Units\\U02\\Piping\\641_U02_Bilge and ballast.dwg	BFY-EVBS-MISC-526282-DN100-WAFER	Cast iron GG 25	MISC			-5550	32357	2200	N/A	N/A	N/A	N/A	100 mm	6.1	N/A	N/A	N/A	N/A	641-BL01	N/A	641	NULL	e6191842-d6c2-4843-924a-0d2d26e7b927
0022429d-c9e3-4a87-b8eb-7146a410f0bf	SSI-0105-P01-P01	P01	PROJECT/U01/0105/0105-ES06/0105-ES05/P01	U01_SHELL	Units\\U01\\Structure\\Curved\\U01_SHELL.dwg	PL14	Steel Gr. A	ACME		N/A	-6113	44558	6247	N/A	N/A	U01_PL14-NT001	U01_PL14	N/A	1488.306	N/A	N/A	Shell	13542364	N/A	N/A	N/A	NULL	90f5d28d-f309-4d68-b08c-00c554e8fbc6
0025fdcf-eebb-46b6-8151-a1a58babcd61	SSI-0101-P02-P03	P02	PROJECT/U01/0101/0101-ES15/0101-ES14/0101-ES11/0101-ES09/0101-ES08/0101-ES06/0101-ES03/P02	U01_TT 1400	Units\\U01\\Structure\\Deck\\U01_TT 1400.dwg	PL07	Steel Gr. A	ACME		N/A	-1568	41570	1404	N/A	N/A	U01_PL07-NT018	U01_PL07	N/A	582.453	N/A	N/A	Tank Top 1400 ABL	10599697	N/A	N/A	N/A	NULL	c7910fae-cfe0-441d-98d2-14fc92d75dc5
002c40ab-8bb6-4baf-bfb0-7a5873c688df	P-7552	Unspooled Pipe	PROJECT/U02/Unspooled Pipe	623_U02_Heating water	Units\\U02\\Piping\\623_U02_Heating water.dwg	PIPE-28,0x1,5-WICU	Copper Cu	MISC			-5522	34976	6251	2258	2258	N/A	N/A	25 mm	2.506	N/A	N/A	N/A	N/A	623-HR01	N/A	623	NULL	b98c9a71-f7fa-47ae-b9a7-92a591f7a579
003af1f6-ccfc-420f-bdfc-ea38dbf9bb86	P-12624	Unspooled Pipe	PROJECT/U01/Unspooled Pipe	615_U01_Chilled water	Units\\U01\\Piping\\615_U01_Chilled water.dwg	SCK-2415-18-VIEGA	Copper Cu	VIEGA		20mm	-6371	41882	6329	54	N/A	N/A	N/A	15 mm	0.03	N/A	N/A	N/A	N/A	CS01	N/A	615	NULL	dac3d286-ab37-4023-9a85-5cb778534578
005e6f19-07b5-4e99-9801-ff47473a97a2	SSI-0207-P02-S02	P02	PROJECT/U02/0207/0207-ES07/0207-ES06/0207-ES05/P02	U02_FR59	Units\\U02\\Structure\\Frame\\U02_FR59.dwg	HP140x8	Steel Gr. A	ACME		N/A	-1494	35482	5404	2553	2553	HP140x8-018	N/A	N/A	27.708	N/A	N/A	Bhd Fr.59	N/A	N/A	Bulb Flat	N/A	NULL	97647543-10d6-45c6-8b60-f1feab1e82bc
